ID,weight
1,3.12071296
2,3.742134
3,2.494756
4,3.80110096
5,3.54255352
6,2.154562
7,3.34750896
8,3.12071296
9,4.14129496
10,3.34750896
11,2.721552
12,3.54255352
13,2.78051896
14,3.515338
15,3.14792848
16,2.041164
17,3.68770296
18,3.31575752
19,2.80773448
20,3.88274752
21,2.92113248
22,2.69433648
23,3.80110096
24,3.20235952
25,3.175144
26,2.89391696
27,2.44032496
28,2.948348
29,3.40194
30,3.12071296
31,3.68770296
32,2.86216552
33,3.628736
34,4.02789696
35,4.10954352
36,3.31575752
37,3.42915552
38,3.061746
39,3.60152048
40,2.26796
41,2.86216552
42,3.12071296
43,2.86216552
44,3.48812248
45,3.31575752
46,2.55372296
47,3.71491848
