"","id","gender","workhour","drivelic","travel"
"1",1001,"F",10,"Y","Y"
"2",1002,"M",10,"Y","N"
"3",1003,"F",0,"N","N"
"4",1004,"F",20.5,"Y","Y"
"5",1005,"M",0,"Y","N"
"6",1006,"F",9,"N","Y"
"7",1007,"F",0,"Y","N"
"8",1008,"F",12.5,"N","N"
"9",1009,"F",0,"Y","Y"
"10",1010,"M",0,"N","Y"
"11",1011,"F",0,"Y","N"
"12",1012,"M",0,"N","Y"
"13",1013,"M",0,"N","Y"
"14",1014,"F",0,"N","Y"
"15",1015,"M",0,"N","Y"
"16",1016,"F",10,"Y","Y"
"17",1017,"M",60,"Y","Y"
"18",1018,"M",22.5,"Y","Y"
"19",1019,"F",0,"N","Y"
"20",1020,"M",0,"Y","Y"
"21",1021,"M",0,"Y","Y"
"22",1022,"M",10,"Y","N"
"23",1023,"F",10,"N","N"
"24",1024,"F",0,"Y","Y"
"25",1025,"F",15,"Y","Y"
"26",1026,"F",15,"N","Y"
"27",1027,"M",22,"Y","Y"
"28",1028,"M",30,"Y","N"
"29",1029,"M",0,"Y","Y"
"30",1030,"F",0,"N","N"
"31",1031,"M",0,"N","N"
"32",1032,"F",7,"Y","Y"
"33",1033,"M",0,"Y","Y"
"34",1034,"M",0,"N","Y"
"35",1035,"M",12,"Y","Y"
"36",1036,"F",0,"Y","Y"
"37",1037,"F",4,"N","Y"
"38",1038,"F",0,"Y","Y"
"39",1039,"M",16,"Y","Y"
"40",1040,"F",0,"Y","Y"
"41",1041,"M",0,"Y","Y"
"42",1042,"M",15,"Y","Y"
"43",1043,"F",15,"Y","Y"
"44",1044,"M",0,"Y","Y"
"45",1045,"M",35,"Y","Y"
"46",1046,"F",2.5,"Y","N"
"47",1047,"M",40,"Y","N"
"48",1048,"F",7,"N","Y"
"49",1049,"F",0,"Y","Y"
"50",1050,"F",25,"Y","Y"
"51",1051,"M",30,"Y","N"
"52",1052,"F",10,"Y","Y"
"53",1053,"F",7,"N","Y"
"54",1054,"M",0,"N","Y"
"55",1055,"M",15,"Y","Y"
"56",1056,"F",0,"Y","Y"
"57",1057,"M",0,"Y","N"
"58",1058,"M",0,"N","Y"
"59",1059,"F",45,"Y","Y"
"60",1060,"F",15,"Y","Y"
"61",1061,"M",0,"N","Y"
"62",1062,"M",0,"Y","N"
"63",1063,"F",16,"N","N"
"64",1064,"F",15,"Y","Y"
"65",1065,"F",0,"Y","Y"
"66",1066,"F",7,"N","Y"
"67",1067,"M",0,"N","Y"
"68",1068,"M",14,"Y","Y"
"69",1069,"F",0,"N","Y"
"70",1070,"F",0,"N","Y"
"71",1071,"F",0,"N","Y"
"72",1072,"F",5,"N","Y"
"73",1073,"F",25,"N","Y"
"74",1074,"F",0,"N","Y"
"75",1075,"M",0,"N","Y"
"76",1076,"M",32,"Y","Y"
"77",1077,"F",15,"Y","N"
"78",1078,"M",15,"Y","N"
"79",1079,"M",8,"N","Y"
"80",1080,"M",21,"Y","Y"
"81",1081,"M",20,"Y","Y"
"82",1082,"F",20,"Y","Y"
"83",1083,"M",0,"Y","Y"
"84",1084,"F",20,"Y","Y"
"85",1085,"F",0,"Y","N"
"86",1086,"F",0,"Y","Y"
"87",1087,"F",6,"N","Y"
