"","amount","lab"
"1",4.13,1
"2",4.07,1
"3",4.04,1
"4",4.07,1
"5",4.05,1
"6",4.04,1
"7",4.02,1
"8",4.06,1
"9",4.1,1
"10",4.04,1
"11",3.86,2
"12",3.85,2
"13",4.08,2
"14",4.11,2
"15",4.08,2
"16",4.01,2
"17",4.02,2
"18",4.04,2
"19",3.97,2
"20",3.95,2
"21",4,3
"22",4.02,3
"23",4.01,3
"24",4.01,3
"25",4.04,3
"26",3.99,3
"27",4.03,3
"28",3.97,3
"29",3.98,3
"30",3.98,3
"31",3.88,4
"32",3.88,4
"33",3.91,4
"34",3.95,4
"35",3.92,4
"36",3.97,4
"37",3.92,4
"38",3.9,4
"39",3.97,4
"40",3.9,4
"41",4.02,5
"42",3.95,5
"43",4.02,5
"44",3.89,5
"45",3.91,5
"46",4.01,5
"47",3.89,5
"48",3.89,5
"49",3.99,5
"50",4,5
"51",4.02,6
"52",3.86,6
"53",3.96,6
"54",3.97,6
"55",4,6
"56",3.82,6
"57",3.98,6
"58",3.99,6
"59",4.02,6
"60",3.93,6
"61",4,7
"62",4.02,7
"63",4.03,7
"64",4.04,7
"65",4.1,7
"66",3.81,7
"67",3.91,7
"68",3.96,7
"69",4.05,7
"70",4.06,7
